iter	Passed	Remaining
0	138	138370
1	139	69572
2	140	46560
3	140	35064
4	141	28155
5	142	23555
6	142	20280
7	143	17818
8	144	15903
9	145	14368
10	145	13120
11	146	12068
12	147	11178
13	147	10417
14	148	9753
15	149	9168
16	149	8650
17	150	8190
18	150	7779
19	151	7409
20	151	7074
21	152	6770
22	152	6496
23	153	6244
24	154	6013
25	154	5795
26	155	5597
27	155	5411
28	156	5238
29	157	5080
30	157	4931
31	158	4801
32	159	4668
33	159	4543
34	160	4424
35	160	4310
36	161	4203
37	162	4102
38	162	4006
39	163	3915
40	163	3828
41	164	3746
42	164	3667
43	165	3592
44	165	3520
45	166	3452
46	166	3386
47	167	3324
48	168	3263
49	168	3205
50	169	3150
51	169	3096
52	170	3044
53	171	2997
54	171	2950
55	172	2904
56	172	2859
57	173	2816
58	174	2775
59	174	2735
60	175	2696
61	175	2658
62	176	2621
63	176	2585
64	177	2550
65	177	2517
66	178	2483
67	178	2452
68	179	2421
69	180	2391
70	180	2365
71	181	2337
72	181	2309
73	182	2286
74	183	2261
75	183	2236
76	184	2217
77	185	2193
78	186	2171
79	186	2149
80	187	2128
81	188	2106
82	188	2082
83	189	2061
84	189	2040
85	190	2021
86	190	2002
87	191	1983
88	191	1964
89	192	1945
90	192	1927
91	193	1909
92	194	1892
93	194	1875
94	195	1858
95	195	1841
96	196	1825
97	196	1809
98	197	1795
99	197	1781
100	198	1768
101	199	1754
102	199	1740
103	200	1727
104	201	1714
105	201	1701
106	202	1688
107	202	1675
108	203	1662
109	203	1650
110	204	1638
111	205	1626
112	205	1614
113	206	1602
114	206	1591
115	207	1579
116	207	1567
117	208	1556
118	208	1545
119	209	1534
120	209	1524
121	210	1513
122	210	1503
123	211	1493
124	211	1483
125	212	1475
126	213	1464
127	213	1455
128	214	1447
129	214	1438
130	215	1430
131	216	1422
132	216	1414
133	217	1405
134	217	1396
135	218	1388
136	219	1380
137	219	1372
138	220	1364
139	220	1356
140	221	1348
141	221	1339
142	222	1332
143	222	1324
144	223	1316
145	223	1309
146	224	1302
147	224	1294
148	225	1287
149	226	1280
150	226	1273
151	227	1267
152	227	1262
153	228	1255
154	229	1249
155	229	1243
156	230	1237
157	231	1231
158	231	1225
159	232	1219
160	232	1212
161	233	1206
162	233	1200
163	234	1195
164	234	1189
165	235	1183
166	236	1177
167	236	1171
168	237	1165
169	237	1160
170	238	1154
171	238	1148
172	239	1143
173	239	1137
174	240	1132
175	240	1126
176	241	1121
177	241	1116
178	242	1112
179	243	1107
180	243	1103
181	244	1098
182	244	1093
183	245	1089
184	246	1084
185	246	1079
186	247	1075
187	247	1070
188	248	1065
189	248	1061
190	249	1056
191	250	1052
192	250	1047
193	251	1043
194	251	1038
195	252	1034
196	252	1030
197	253	1025
198	253	1021
199	254	1017
200	254	1012
201	255	1008
202	255	1004
203	256	1000
204	257	996
205	257	993
206	258	989
207	258	985
208	259	981
209	259	978
210	260	974
211	261	970
212	261	967
213	262	963
214	262	959
215	263	956
216	264	952
217	264	949
218	265	945
219	265	942
220	266	938
221	266	934
222	267	931
223	267	927
224	268	924
225	268	920
226	269	917
227	270	914
228	270	912
229	271	909
230	272	907
231	273	904
232	273	901
233	274	898
234	275	895
235	275	892
236	276	889
237	277	887
238	277	884
239	278	881
240	278	878
241	279	875
242	280	872
243	280	869
244	281	866
245	281	863
246	282	861
247	282	858
248	283	855
249	284	853
250	284	850
251	285	847
252	286	844
253	286	842
254	287	840
255	288	837
256	288	834
257	289	832
258	289	829
259	290	827
260	291	824
261	292	822
262	292	820
263	293	817
264	293	815
265	294	812
266	295	809
267	295	807
268	296	804
269	296	801
270	297	799
271	297	796
272	298	794
273	298	791
274	299	789
275	300	786
276	300	784
277	301	782
278	301	779
279	302	777
280	303	775
281	303	773
282	304	771
283	304	768
284	305	766
285	306	764
286	306	762
287	307	760
288	308	758
289	308	755
290	309	753
291	309	751
292	310	749
293	311	747
294	311	744
295	312	742
296	312	740
297	313	738
298	314	736
299	314	734
300	315	732
301	315	729
302	316	727
303	317	725
304	317	723
305	318	721
306	318	719
307	319	717
308	320	715
309	320	713
310	321	711
311	321	709
312	322	707
313	323	705
314	323	703
315	324	701
316	324	699
317	325	697
318	325	695
319	326	693
320	327	691
321	327	689
322	328	687
323	328	685
324	329	683
325	329	681
326	330	679
327	330	677
328	331	675
329	331	673
330	332	672
331	333	670
332	333	668
333	334	666
334	334	664
335	335	663
336	336	661
337	336	659
338	337	657
339	337	655
340	338	654
341	339	652
342	339	650
343	340	648
344	340	646
345	341	645
346	341	643
347	342	641
348	343	639
349	343	638
350	344	636
351	344	634
352	345	633
353	345	631
354	346	629
355	347	628
356	347	626
357	348	624
358	348	623
359	349	621
360	350	619
361	350	618
362	351	616
363	352	615
364	352	613
365	353	612
366	353	610
367	354	609
368	355	607
369	355	606
370	356	604
371	357	602
372	357	601
373	358	599
374	358	597
375	359	596
376	360	595
377	360	593
378	361	591
379	361	590
380	362	588
381	363	587
382	363	585
383	364	584
384	364	582
385	365	581
386	366	580
387	366	578
388	367	577
389	368	575
390	368	574
391	369	572
392	369	571
393	370	570
394	371	568
395	371	567
396	372	565
397	373	564
398	373	562
399	374	561
400	375	560
401	375	559
402	376	557
403	377	556
404	377	555
405	378	553
406	379	552
407	379	550
408	380	549
409	381	548
410	381	547
411	382	546
412	383	545
413	384	543
414	384	542
415	385	541
416	386	539
417	386	538
418	387	537
419	388	536
420	388	534
421	389	533
422	390	532
423	390	530
424	392	530
425	392	529
426	393	527
427	394	526
428	394	525
429	395	523
430	395	522
431	396	521
432	397	520
433	397	518
434	398	517
435	399	516
436	399	514
437	400	513
438	400	512
439	401	511
440	402	509
441	402	508
442	403	507
443	404	506
444	404	504
445	405	503
446	406	502
447	406	501
448	407	500
449	408	498
450	408	497
451	409	496
452	410	495
453	410	494
454	411	493
455	412	491
456	412	490
457	413	489
458	414	488
459	414	486
460	415	485
461	416	484
462	416	483
463	417	482
464	417	480
465	418	479
466	419	478
467	419	477
468	420	475
469	420	474
470	421	473
471	422	472
472	422	471
473	423	470
474	424	468
475	424	467
476	425	466
477	426	465
478	426	464
479	427	463
480	428	461
481	428	460
